architecture,overall_score,latency_ms,difficulty
traditional_rag,0.6733269241604688,2449.0,simple
traditional_rag,0.932455895929966,2324.0,simple
traditional_rag,0.7904762786438281,2700.0,simple
traditional_rag,0.862468609601414,2148.0,simple
traditional_rag,0.8673832577181094,2232.0,simple
traditional_rag,0.7687582957180917,2165.0,simple
traditional_rag,0.9519293652468962,2062.0,simple
traditional_rag,0.9353882868937049,2343.0,simple
traditional_rag,0.861572861189432,2207.0,simple
traditional_rag,0.8664733643901857,2194.0,simple
traditional_rag,0.9473748487752495,2559.0,simple
traditional_rag,0.8229973395655147,1879.0,simple
traditional_rag,0.9357351828983008,2013.0,simple
traditional_rag,0.9344861781237184,2249.0,simple
traditional_rag,0.7074577905885114,1937.0,simple
traditional_rag,0.7663540779862599,2566.0,simple
traditional_rag,0.9245105893469121,2356.0,simple
traditional_rag,0.7786752349013765,1848.0,simple
traditional_rag,0.6214037698412698,2143.0,simple
traditional_rag,0.7553040103291114,1841.0,simple
traditional_rag,0.8583970189378066,1841.0,simple
traditional_rag,0.8805557041770278,1974.0,simple
traditional_rag,0.6615516962817457,1607.0,simple
traditional_rag,0.9180561754062517,2947.0,simple
traditional_rag,0.913531389476157,2087.0,simple
traditional_rag,0.9501806139718888,2420.0,simple
traditional_rag,0.9112579664459047,2508.0,simple
traditional_rag,0.9022712416158862,3035.0,simple
traditional_rag,0.9135589475036197,1866.0,simple
traditional_rag,0.9353393605360107,2420.0,simple
traditional_rag,0.9210817375339232,2269.0,simple
traditional_rag,0.8155177181640073,2557.0,simple
traditional_rag,0.9402617066093628,1913.0,simple
traditional_rag,0.9200237143479801,3102.0,simple
traditional_rag,0.6996362882556912,2463.0,simple
traditional_rag,0.9272000605008418,1936.0,simple
traditional_rag,0.8992430327230821,2555.0,simple
traditional_rag,0.9319367972918468,2054.0,simple
traditional_rag,0.8821517474788112,2352.0,simple
traditional_rag,0.5700785468281067,2149.0,simple
traditional_rag,0.886646506242896,2457.0,medium
traditional_rag,0.8821116708845019,2694.0,medium
traditional_rag,0.9089067570889264,1611.0,medium
traditional_rag,0.871344674253301,2023.0,medium
traditional_rag,0.9229492620924546,2576.0,medium
traditional_rag,0.879979725875875,2359.0,medium
traditional_rag,0.8614392581319941,2267.0,medium
traditional_rag,0.9384465767525236,2438.0,medium
traditional_rag,0.9232489291189181,2046.0,medium
traditional_rag,0.8441695829136178,2354.0,medium
traditional_rag,0.8591262571544261,1741.0,medium
traditional_rag,0.8398181543930737,2250.0,medium
traditional_rag,0.8294497430696862,1842.0,medium
traditional_rag,0.8903617099442132,2672.0,medium
traditional_rag,0.8870223774690487,2087.0,medium
traditional_rag,0.6903527200353825,1792.0,medium
traditional_rag,0.8545227560505338,1943.0,medium
traditional_rag,0.9173050122826909,1602.0,medium
traditional_rag,0.8909173916896773,1877.0,medium
traditional_rag,0.8064806097596591,2385.0,medium
traditional_rag,0.8842081839842891,1732.0,medium
traditional_rag,0.858631270419622,1441.0,medium
traditional_rag,0.9334108097067656,2434.0,medium
traditional_rag,0.839260344318494,2294.0,medium
traditional_rag,0.6896400943459454,2118.0,medium
traditional_rag,0.7666217573986116,1704.0,medium
traditional_rag,0.9213671651638606,2126.0,medium
traditional_rag,0.8914023631840796,1982.0,medium
traditional_rag,0.7545416315648343,1834.0,medium
traditional_rag,0.8882443478287942,2158.0,medium
traditional_rag,0.906853620080613,2549.0,complex
traditional_rag,0.819567010622834,3334.0,complex
traditional_rag,0.8080314007711638,2499.0,complex
traditional_rag,0.9350132424227818,2203.0,complex
traditional_rag,0.7959449854321049,2516.0,complex
traditional_rag,0.8004789441001716,1980.0,complex
traditional_rag,0.8402047669324035,3137.0,complex
traditional_rag,0.7556244017061903,2489.0,complex
traditional_rag,0.7692528139798751,2264.0,complex
traditional_rag,0.8635302636725446,2427.0,complex
traditional_rag,0.7120255034436804,2623.0,complex
traditional_rag,0.7995103730869602,1461.0,complex
traditional_rag,0.8312890845141179,2041.0,complex
traditional_rag,0.652131064404827,2457.0,complex
traditional_rag,0.8256815662620944,2460.0,complex
traditional_rag,0.8738636363636364,1883.0,complex
traditional_rag,0.7652096514596515,1797.0,complex
traditional_rag,0.7279462094305844,2149.0,complex
traditional_rag,0.8871379715485321,2148.0,complex
traditional_rag,0.6902325244527485,2349.0,complex
traditional_rag,0.7782470696571815,2156.0,complex
traditional_rag,0.9199505383194849,2970.0,complex
traditional_rag,0.7194374970420856,2558.0,complex
traditional_rag,0.6524709521365684,2045.0,complex
traditional_rag,0.7175783415130976,2251.0,complex
traditional_rag,0.751545221789917,1946.0,complex
traditional_rag,0.6348262249886544,2381.0,complex
traditional_rag,0.7952212345928957,2120.0,complex
traditional_rag,0.6555958178726036,1946.0,complex
traditional_rag,0.8159358107394477,2353.0,complex
traditional_rag,0.6295244463213213,10336.0,simple
traditional_rag,0.8687976266780615,2047.0,simple
traditional_rag,0.8391243684154862,2662.0,simple
traditional_rag,0.9277991739895755,1944.0,simple
